Date,Last Price,Open Interest,SMAVG (15)
2020-08-21,46.47,114740,100189
2020-08-20,47.12,114740,100189
2020-08-19,47.48,112952,98920
2020-08-18,47.56,111393,97834
2020-08-17,47.5,110603,96759
2020-08-14,46.88,105476,95727
2020-08-13,46.86,98631,95059
2020-08-12,47.28,96824,94746
2020-08-11,46.38,94836,94603
2020-08-10,46.67,93445,94729
2020-08-07,46.07,94371,95067
2020-08-06,46.8,94081,95493
2020-08-05,46.97,92986,95919
2020-08-04,46.27,91975,96462
2020-08-03,45.96,93587,97098
2020-07-31,44.78,96937,97636
2020-07-30,44.59,95696,97939
2020-07-29,45.48,96670,98306
2020-07-28,45.1,95268,98551
2020-07-27,45.41,95125,98770
2020-07-24,45.08,95453,99074
2020-07-23,44.65,93931,99375
2020-07-22,45.43,94683,99900
2020-07-21,45.36,96724,100408
2020-07-20,44.38,98521,103534
2020-07-17,44.19,100758,106535
2020-07-16,44.25,100473,109380
2020-07-15,44.58,101130,112247
2020-07-14,44.04,101511,115042
2020-07-13,43.85,101654,117834
2020-07-10,44.28,101485,120883
2020-07-09,43.41,101205,123935
2020-07-08,44.22,100341,127131
2020-07-07,43.99,98561,130223
2020-07-06,43.85,99674,133462
2020-07-03,43.48,99976,136820
2020-07-02,43.63,101802,139622
2020-07-01,42.74,102301,142042
2020-06-30,41.95,143613,144556
2020-06-29,42.5,143538,144126
2020-06-26,41.44,143432,143616
2020-06-25,41.86,143486,143086
2020-06-24,41.36,143048,142371
2020-06-23,43.27,143388,141680
2020-06-22,43.48,147389,140914
2020-06-19,42.53,147268,139713
2020-06-18,41.95,149148,151979
2020-06-17,41.58,146719,163916
2020-06-16,42.21,147145,175997
2020-06-15,41.16,150042,187982
2020-06-12,40.2,142010,199819
2020-06-11,40.07,138103,212081
2020-06-10,42.86,140010,224007
2020-06-09,42.65,137167,235617
2020-06-08,42.03,135878,247492
2020-06-05,43.34,135494,259827
2020-06-04,41.57,132756,273031
2020-06-03,41.25,132677,286618
2020-06-02,40.8,131909,300233
2020-06-01,39.71,129363,313816
2020-05-29,39.41,331258,327194
2020-05-28,38.05,328210,327075
2020-05-27,37.57,327928,327011
2020-05-26,38.66,326920,327285
2020-05-25,38.15,327597,327272
2020-05-22,37.66,325952,326955
2020-05-21,38.18,316990,326371
2020-05-20,37.88,314151,313358
2020-05-19,37.01,315290,300204
2020-05-18,37.11,320912,287040
2020-05-15,35.11,333556,273231
2020-05-14,34.26,336554,258397
2020-05-13,33.17,336904,243356
2020-05-12,33.8,335648,228118
2020-05-11,33.93,330043,212879
2020-05-08,35.33,329468,198111
2020-05-07,33.49,327255,183312
2020-05-06,33.78,332039,168564
2020-05-05,35.08,326723,153689
2020-05-04,32.5,322841,139092
2020-05-01,32.18,317197,124479
2020-04-30,32.1,121794,110142
2020-04-29,30.54,116834,108642
2020-04-28,29.86,117828,107555
2020-04-27,30.38,113776,106371
2020-04-24,31.32,111056,105452
2020-04-23,31.54,110929,104600
2020-04-22,31.55,108339,103560
2020-04-21,30.46,107067,103015
2020-04-20,35.71,108524,102806
2020-04-17,36.67,107472,102963
2020-04-16,36.71,106037,103211
2020-04-15,36.77,108924,103476
2020-04-14,39.12,107768,103614
2020-04-13,39.38,103633,103783
2020-04-09,38,102147,104007
2020-04-08,38.19,99291,104395
2020-04-07,38.24,100541,105042
2020-04-06,37.9,100054,105294
2020-04-03,37.83,99994,105560
2020-04-02,36.43,98278,106043
2020-04-01,34.81,95333,106694
2020-03-31,35.49,100165,107252
2020-03-30,35.77,103928,107060
2020-03-27,36.03,110877,106617
2020-03-26,35.75,111195,105724
2020-03-25,36.75,110018,104680
2020-03-24,35.72,110993,103696
2020-03-23,34.83,110299,102596
2020-03-20,33.87,106993,101443
2020-03-19,35.02,107972,103326
2020-03-18,31.84,108993,105068
2020-03-17,35.24,104322,106958
2020-03-16,36.2,104042,109177
2020-03-13,39.38,107234,111517
2020-03-12,39.54,108053,113977
2020-03-11,40.42,103696,116336
2020-03-10,40.63,97278,119276
2020-03-09,37.66,97286,122810
2020-03-06,46.84,97485,127011
2020-03-05,50.75,95535,131170
2020-03-04,51.61,95264,135632
2020-03-03,51.82,94484,139900
2020-03-02,51.75,93006,144247
2020-02-28,49.85,135238,148247
2020-02-27,51.96,134106,148736
2020-02-26,53.01,137343,149219
2020-02-25,54.24,137602,149629
2020-02-24,55.77,139139,149838
2020-02-21,57.24,144143,150125
2020-02-20,57.98,143429,148373
2020-02-19,58.14,147798,146725
2020-02-18,57.3,150297,144778
2020-02-17,57.31,160289,142589
2020-02-14,57.15,159879,140054
2020-02-13,56.66,162456,137559
2020-02-12,56.29,159297,134916
2020-02-11,54.93,159688,132241
2020-02-10,54.51,152996,129476
2020-02-07,55.42,142577,127146
2020-02-06,55.7,141352,125531
2020-02-05,55.4,143497,124038
2020-02-04,54.2,140736,122665
2020-02-03,54.56,143447,121445
2020-01-31,55.79,117863,119783
2020-01-30,56.08,118700,119931
2020-01-29,57.04,118601,120132
2020-01-28,56.91,117452,120263
2020-01-27,56.62,122267,120671
2020-01-24,57.51,122452,120448
2020-01-23,58.87,122810,120195
2020-01-22,59.99,119178,119893
2020-01-21,61.27,118218,119590
2020-01-20,61.64,118036,119446
2020-01-17,61.43,118359,119313
2020-01-16,61.42,118960,119103
2020-01-15,60.96,122898,118839
2020-01-14,61.42,122428,118325
2020-01-13,61.2,118519,117939
2020-01-10,61.86,120088,117869
2020-01-09,62.22,121711,117704
2020-01-08,62.25,120570,117218
2020-01-07,64.86,123565,116755
2020-01-06,65.2,118931,116168
2020-01-03,65.02,118650,115966
2020-01-02,63.29,118277,115473
2019-12-31,62.93,114636,114795
2019-12-30,64.17,116063,114340
2019-12-27,64.32,116040,113597
2019-12-26,64.25,115204,112765
2019-12-24,63.72,115002,112038
2019-12-23,63.03,115191,111256
2019-12-20,62.84,116637,110409
2019-12-19,63.07,117463,121188
2019-12-18,62.82,117627,131888
2019-12-17,62.77,114421,142561
2019-12-16,62.19,113621,153354
2019-12-13,61.97,114759,164149
2019-12-12,61.14,115895,174678
2019-12-11,60.75,111252,185057
2019-12-10,61.42,108110,195572
2019-12-09,61.13,107816,206244
2019-12-06,61.15,104911,216961
2019-12-05,60.49,103566,227572
2019-12-04,60.33,104306,237995
2019-12-03,58.52,103260,248235
2019-12-02,58.63,102489,258123
2019-11-29,58.57,278325,267635
2019-11-28,61.31,277969,265296
2019-11-27,60.97,277721,262510
2019-11-26,61.21,276316,259685
2019-11-25,60.67,275544,257030
2019-11-22,60.37,272685,254275
2019-11-21,60.89,271583,251632
2019-11-20,59.62,268972,240790
2019-11-19,58.25,268200,230041
2019-11-18,59.62,268565,219294
2019-11-15,60.46,264078,208607
2019-11-14,59.64,259918,198222
2019-11-13,59.82,257905,188061
2019-11-12,59.55,251578,177965
2019-11-11,59.45,245169,168256
2019-11-08,59.71,243236,158776
2019-11-07,59.43,236177,149425
2019-11-06,58.89,235354,140417
2019-11-05,60.21,236482,131462
2019-11-04,59.57,234228,122336
2019-11-01,59.3,233040,113283
2019-10-31,57.58,108948,104308
2019-10-30,58.29,107742,103702
2019-10-29,59.44,106986,103156
2019-10-28,59.52,108257,102588
2019-10-25,59.97,108308,101915
2019-10-24,59.58,107499,101200
2019-10-23,59.18,106472,100407
2019-10-22,57.91,105949,99634
2019-10-21,57.3,102967,98880
2019-10-18,57.52,102959,97147
2019-10-17,57.84,101069,95297
2019-10-16,57.81,101027,93463
2019-10-15,57.31,99592,91493
2019-10-14,57.98,98436,89487
2019-10-11,58.71,98407,87526
2019-10-10,57.33,99862,85606
2019-10-09,56.58,99552,83618
2019-10-08,56.56,98469,81716
2019-10-07,56.54,98151,79722
2019-10-04,56.44,97584,77634
2019-10-03,55.82,95603,75859
2019-10-02,56.01,94877,74285
2019-10-01,56.91,94644,72612
2019-09-30,57.26,76976,70880
2019-09-27,58.7,75200,70157
2019-09-26,59.31,73559,69554
2019-09-25,59.07,71486,68902
2019-09-24,59.68,69494,68079
2019-09-23,61.06,69025,67283
2019-09-20,60.62,69603,66307
2019-09-19,60.81,70045,70188
2019-09-18,60.32,71019,73857
2019-09-17,61.11,68567,77318
2019-09-16,64.07,66829,80553
2019-09-13,57.68,70963,83801
2019-09-12,58.07,71982,86710
2019-09-11,58.6,69786,89428
2019-09-10,59.91,68666,92012
2019-09-09,60.02,66135,94267
2019-09-06,59.07,66153,96476
2019-09-05,58.72,63779,98721
2019-09-04,58.57,59146,101078
2019-09-03,56.32,57542,103527
2019-09-02,56.65,54387,106161
2019-08-30,57.41,127825,108784
2019-08-29,58.78,125071,106458
2019-08-28,58.28,122934,104006
2019-08-27,57.56,117099,101737
2019-08-26,56.64,115554,99804
2019-08-23,57.31,114587,97852
2019-08-22,58.12,112752,95837
2019-08-21,58.5,108548,93870
2019-08-20,58.3,102496,92780
2019-08-19,57.95,99274,92073
2019-08-16,56.99,99828,91467
2019-08-15,56.75,99134,90698
2019-08-14,58.04,95872,89830
2019-08-13,59.83,97060,88863
2019-08-12,57.39,93721,87535
2019-08-09,57.28,92946,86319
2019-08-08,56.21,88284,85193
2019-08-07,55.35,88898,84268
2019-08-06,57.76,88102,83272
2019-08-05,58.47,86282,82424
2019-08-02,60.14,84355,81680
2019-08-01,58.78,83243,81095
2019-07-31,63.44,92203,80563
2019-07-30,63.11,91887,79386
2019-07-29,62.24,90195,78089
2019-07-26,62.03,88289,76903
2019-07-25,61.98,86118,75791
2019-07-24,61.92,81359,74751
2019-07-23,62.57,77144,74036
2019-07-22,61.96,75475,73651
2019-07-19,61.42,76063,73406
2019-07-18,60.66,74407,75965
2019-07-17,61.95,73959,78760
2019-07-16,62.5,75376,81466
2019-07-15,64.49,75129,83479
2019-07-12,65.09,75578,85353
2019-07-11,65.07,75264,87027
2019-07-10,65.55,74543,88566
2019-07-09,63.07,72432,89854
2019-07-08,62.88,72403,91202
2019-07-05,62.83,71610,92488
2019-07-04,62.08,70525,93672
2019-07-03,62.71,70637,94819
2019-07-02,61.44,71358,95821
2019-07-01,63.88,71811,97271
2019-06-28,63.56,114448,98503
2019-06-27,64.45,116329,96727
2019-06-26,64.52,114548,94765
2019-06-25,63.26,105570,92737
2019-06-24,63.15,103233,91228
2019-06-21,63.18,100700,89671
2019-06-20,62.61,98344,103724
2019-06-19,60.01,93856,117529
2019-06-18,60.29,92665,131721
2019-06-17,58.91,91692,146224
2019-06-14,59.7,89357,160661
2019-06-13,59.36,87733,175197
2019-06-12,58.22,85670,189585
2019-06-11,60.36,93108,203669
2019-06-10,60.12,90285,217019
2019-06-07,60.62,87814,230977
2019-06-06,58.96,86905,244865
2019-06-05,58.08,84119,258695
2019-06-04,59.78,82934,272169
2019-06-03,59.43,79887,285495
2019-05-31,60.15,311497,299125
2019-05-30,63.42,305418,296879
2019-05-29,65.68,306724,294910
2019-05-28,66.3,310218,292436
2019-05-27,66.28,308253,289379
2019-05-24,65.03,307386,286275
2019-05-23,64.07,303553,283287
2019-05-22,67.63,296941,280202
2019-05-21,69.06,293356,277493
2019-05-20,68.94,299649,267612
2019-05-17,68.91,296129,257237
2019-05-16,69.31,294358,247048
2019-05-15,68.65,286235,237084
2019-05-14,68.05,282815,227473
2019-05-13,67.17,284344,217968
2019-05-10,67.43,277808,208170
2019-05-09,67.43,275875,198675
2019-05-08,67.81,269620,189301
2019-05-07,67.11,264368,180236
2019-05-06,68.27,261690,171372
2019-05-03,67.98,262566,162555
2019-05-02,68.07,257276,153387
2019-05-01,69.62,256302,144596
2019-04-30,70.03,145150,135911
2019-04-29,69.54,144022,134625
2019-04-26,69.56,143294,133546
2019-04-25,71.52,144900,132477
2019-04-24,71.86,142058,131344
2019-04-23,71.9,140243,130090
2019-04-22,71.39,137383,128778
2019-04-18,69.89,135381,126039
2019-04-17,69.66,135259,123365
2019-04-16,69.81,133649,120507
2019-04-15,69.49,131402,117705
2019-04-12,69.66,129440,114912
2019-04-11,69.1,125049,112224
2019-04-10,69.86,125412,109691
2019-04-09,68.77,126019,106892
2019-04-08,69.14,125859,104004
2019-04-05,68.58,127842,101091
2019-04-04,67.81,127265,97927
2019-04-03,67.75,127898,94840
2019-04-02,67.78,123242,91689
2019-04-01,67.53,120567,88859
2019-03-29,66.51,96307,86126
2019-03-28,66.03,95270,84959
2019-03-27,66.22,92387,83902
2019-03-26,66.46,91620,82939
2019-03-25,66,89509,81822
2019-03-22,65.96,89111,80755
2019-03-21,66.89,87054,79804
2019-03-20,67.44,83426,84809
2019-03-19,66.72,82702,89697
2019-03-18,66.65,82170,94370
2019-03-15,66.44,80383,98962
2019-03-14,66.59,80958,103557
2019-03-13,66.94,80626,108107
2019-03-12,66.09,80791,112621
2019-03-11,66,79575,117227
2019-03-08,65.31,78800,121808
2019-03-07,65.88,79412,126594
2019-03-06,65.64,77946,131196
2019-03-05,65.7,74868,135935
2019-03-04,65.57,73496,140560
2019-03-01,64.86,74858,145159
2019-02-28,66.09,162123,149387
2019-02-27,66.29,156747,147531
2019-02-26,65.13,152792,145830
2019-02-25,64.6,151058,144422
2019-02-22,66.77,149303,142832
2019-02-21,66.71,149206,141023
2019-02-20,66.65,148334,138047
2019-02-19,66.04,149894,135135
2019-02-18,66.06,148280,132174
2019-02-15,65.72,150599,129320
2019-02-14,64,148430,126472
2019-02-13,63.18,149038,123599
2019-02-12,62.11,144243,120497
2019-02-11,61.34,142487,117549
2019-02-08,61.76,138268,114638
2019-02-07,61.48,134280,112037
2019-02-06,62.63,131236,109671
2019-02-05,62.05,131669,107399
2019-02-04,62.49,127210,104974
2019-02-01,62.67,122174,102814
2019-01-31,60.96,104559,100970
2019-01-30,61.63,104653,99856
2019-01-29,61.31,105491,98296
2019-01-28,59.99,105465,96578
2019-01-25,61.81,107882,94780
2019-01-24,61.48,105325,92735
2019-01-23,61.36,102515,90713
2019-01-22,61.69,100028,88734
