Date,Hist,ATM60,ATM80,ATM100
06/22/09,35.071368,52.625,46.25,42
06/19/09,37.07864794,52.072,45.934,41.149
06/18/09,37.03622736,52.059,45.944,41.15
06/17/09,37.32924527,50.84,45.224,40.568
06/16/09,38.016623,52.285,46.205,41.441
06/15/09,38.0247691,51.065,44.989,40.257
06/12/09,38.78873642,50.396,44.366,39.662
06/11/09,38.67376882,52.013,45.452,40.425
06/10/09,40.05859271,53.172,45.933,40.427
06/09/09,40.02408189,52.784,45.726,40.026
06/08/09,41.29506063,52.692,44.683,39.509
06/05/09,41.23986842,51.332,43.854,38.33
06/04/09,41.3093134,51.256,43.818,38.324
06/03/09,42.9966004,51.217,43.794,38.313
06/02/09,43.95549402,49.839,42.401,36.938
06/01/09,43.97612276,49.446,42.334,37.205
05/29/09,43.76186823,49.299,42.827,37.877
05/28/09,43.8690677,50.787,44.051,38.797
05/27/09,44.18959475,51.009,44.838,39.706
05/26/09,45.11826584,51.537,45.204,40.285
05/25/09,45.2421349,52.222,45.524,40.262
05/22/09,49.04210469,52.253,45.666,40.489
05/21/09,49.10028521,52.229,45.649,40.488
05/20/09,49.84939513,52.255,45.342,40.358
05/19/09,49.91920619,52.543,45.883,41.008
05/18/09,50.15554671,52.697,46.141,41.386
05/15/09,49.7016634,53.664,47.174,42.462
05/14/09,49.17888238,52.259,46.495,42.051
05/13/09,50.40266499,52.559,46.8,42.357
05/12/09,51.35848113,51.565,46.087,41.59
05/11/09,52.61811333,54.471,47.667,42.944
05/08/09,53.10123136,53.372,47.286,43.039
05/07/09,53.06926777,51.31,46.64,43.159
05/06/09,53.07370683,51.261,46.642,43.165
05/05/09,52.88654554,52.428,47.502,44.14
05/04/09,53.3949138,53.285,48.368,45.022
05/01/09,53.01624835,54.648,49.804,46.491
04/30/09,52.46673768,55.824,50.974,47.669
04/29/09,52.92364276,56.045,51.08,47.815
04/28/09,52.94931196,55.91,50.976,47.839
04/27/09,52.92545316,56.072,51.262,47.931
04/24/09,53.80531204,55.4,50.646,47.351
04/23/09,53.60328011,56.509,51.675,48.577
04/22/09,53.60346637,56.455,51.659,48.58
04/21/09,53.84282237,57.888,53.139,50.061
04/20/09,54.49914649,58.209,53.469,50.4
04/17/09,53.37694675,57.149,52.022,48.853
04/16/09,54.37087361,59.033,53.533,50.299
04/15/09,54.23655556,59.264,53.803,50.586
04/14/09,54.16639554,59.274,53.815,50.598
04/13/09,54.29986355,59.08,54.024,50.667
04/09/09,55.16590131,57.709,52.318,49.142
04/08/09,54.76880977,61.553,56.044,52.423
04/07/09,54.76496251,62.125,########,53.041
04/06/09,54.66713935,61.666,########,52.599
04/03/09,54.87325185,61.858,########,52.862
04/02/09,55.38842739,63.087,########,53.311
04/01/09,52.90499741,64.248,########,54.439
03/31/09,52.76046955,62.094,########,53.153
03/30/09,54.80679715,63.535,########,53.319
03/27/09,53.2366533,59.611,########,51.163
03/26/09,53.53483983,60.067,########,51.291
03/25/09,53.29257397,59.154,########,52.035
