Date,Last Price,Open Interest,SMAVG (15)
2020-08-21,1.14,5035,4456
2020-08-20,1.12,5035,4456
2020-08-19,1.13,5035,4360
2020-08-18,1.16,4785,4264
2020-08-17,1.2,4785,4164
2020-08-14,1.29,4785,4064
2020-08-13,1.29,4785,3964
2020-08-12,1.23,4485,3864
2020-08-11,1.36,4485,3783
2020-08-10,1.36,4485,3702
2020-08-07,1.49,4485,3607
2020-08-06,1.39,4485,3513
2020-08-05,1.39,4475,3428
2020-08-04,1.56,3579,3344
2020-08-03,1.71,3579,3336
2020-07-31,1.9,3579,3328
2020-07-30,2,3588,3322
2020-07-29,1.77,3592,3316
2020-07-28,1.89,3287,3309
2020-07-27,1.92,3287,3322
2020-07-24,2.11,3287,3335
2020-07-23,2.2,3287,3349
2020-07-22,1.85,3267,3362
2020-07-21,1.81,3267,3364
2020-07-20,2.08,3067,3367
2020-07-17,2.14,3067,3356
2020-07-16,2.16,3217,3345
2020-07-15,2.1,3217,3325
2020-07-14,2.23,3459,3304
2020-07-13,2.17,3459,3247
2020-07-10,2.26,3487,3190
2020-07-09,2.44,3487,3131
2020-07-08,2.28,3487,3062
2020-07-07,2.44,3487,2980
2020-07-06,2.54,3487,2877
2020-07-03,2.56,3487,2775
2020-07-02,2.52,3487,2672
2020-07-01,2.82,3305,2563
2020-06-30,3.01,3305,2466
2020-06-29,2.97,2905,2369
2020-06-26,3.22,2905,2299
2020-06-25,3.18,2905,2228
2020-06-24,3.27,2905,2125
2020-06-23,2.76,2605,2021
2020-06-22,2.75,2605,1937
2020-06-19,2.98,2605,1854
2020-06-18,2.96,2450,1770
2020-06-17,3.06,2250,1697
2020-06-16,2.92,1950,1637
2020-06-15,3.3,1950,1597
2020-06-12,3.66,1950,1557
2020-06-11,3.35,1850,1517
2020-06-10,2.53,1850,1483
2020-06-09,2.47,1850,1450
2020-06-08,2.59,1850,1403
2020-06-05,2.3,1850,1357
2020-06-04,2.64,1350,1310
2020-06-03,2.67,1350,1297
2020-06-02,2.76,1350,1283
2020-06-01,3.16,1350,1270
2020-05-29,3.25,1350,1257
2020-05-28,3.55,1350,1243
2020-05-27,3.78,1350,1230
2020-05-26,3.33,1350,1217
2020-05-25,3.44,1350,1203
2020-05-22,3.62,1350,1190
2020-05-21,3.37,1350,1177
2020-05-20,3.62,1350,1163
2020-05-19,3.95,1150,1150
2020-05-18,4.04,1150,1150
2020-05-15,4.9,1150,1150
2020-05-14,5.25,1150,1150
2020-05-13,5.75,1150,1150
2020-05-12,5.34,1150,1150
2020-05-11,5.2,1150,1150
2020-05-08,4.85,1150,1150
2020-05-07,5.85,1150,1150
2020-05-06,5.88,1150,1150
2020-05-05,5.1,1150,1150
2020-05-04,6.16,1150,1150
2020-05-01,6.19,1150,1150
2020-04-30,5.9,1150,1150
2020-04-29,6.47,1150,1150
2020-04-28,7.08,1150,1150
2020-04-27,6.93,1150,1150
2020-04-24,6.49,1150,1150
2020-04-23,6.45,1150,1150
2020-04-22,5.86,1150,1150
2020-04-21,7.15,1150,1150
2020-04-20,4.73,1150,1150
2020-04-17,4.1,1150,1150
2020-04-16,4.12,1150,1150
2020-04-15,4.12,1150,1150
2020-04-14,3.28,1150,1150
2020-04-13,3.16,1150,1150
2020-04-09,3.82,1150,1150
2020-04-08,3.96,1150,1150
2020-04-07,3.87,1150,1150
2020-04-06,4.3,1150,1120
2020-04-03,4.7,1150,1090
2020-04-02,5.08,1150,1027
2020-04-01,5.05,1150,
2020-03-31,4.59,1150,
2020-03-30,4.56,1150,
2020-03-27,4.6,1150,
2020-03-26,4.81,1150,
2020-03-25,4.28,1150,
2020-03-24,5.04,1150,
2020-03-23,5.7,1150,
2020-03-20,6.13,1150,
2020-03-19,5.49,1150,
2020-03-18,6.68,1150,
2020-03-17,4.8,700,
2020-03-16,4.45,700,
2020-03-13,3.31,200,
