Date,Hist,ATM100,ATM80
08/21/20,27.56635247,36.121,43.788
08/20/20,27.37958331,36.022,44.017
08/19/20,27.91131489,36.279,44.458
08/18/20,27.94234782,36.087,44.984
08/17/20,28.44773402,36.525,45.185
08/14/20,28.45201059,36.668,45.325
08/13/20,28.52852151,36.706,45.097
08/12/20,28.5896868,36.294,44.712
08/11/20,28.38927456,36.537,45.246
08/10/20,28.50887663,36.889,45.482
08/07/20,28.46384311,37.388,45.941
08/06/20,29.91867531,36.971,2/14/1900
08/05/20,30.03144419,37.178,2/14/1900
08/04/20,30.23901059,37.833,2/15/1900
08/03/20,30.41205266,38.053,2/17/1900
07/31/20,30.31592065,39.233,2/18/1900
07/30/20,31.45690136,39.817,2/19/1900
07/29/20,32.58615948,38.199,2/16/1900
07/28/20,32.64338076,39.673,2/17/1900
07/27/20,33.52490401,40.642,2/18/1900
07/24/20,35.84945924,41.356,2/19/1900
07/23/20,35.83372724,41.779,2/20/1900
07/22/20,36.1047316,38.079,2/17/1900
07/21/20,36.89793835,37.375,2/16/1900
07/20/20,36.76108497,39.029,2/18/1900
07/17/20,36.9164017,39.213,2/18/1900
07/16/20,37.20027432,39.393,2/18/1900
07/15/20,37.20513887,38.976,2/18/1900
07/14/20,37.2667989,39.706,2/19/1900
07/13/20,37.61269801,38.659,49.265
07/10/20,46.0386626,40.35,50.984
07/09/20,45.98268123,41.098,51.815
07/08/20,45.78319773,40.346,50.869
07/07/20,45.78036929,41.909,52.628
07/06/20,47.47022059,42.35,53.059
07/03/20,47.44840857,42.38,52.391
07/02/20,47.8266733,42.042,51.864
07/01/20,47.67014035,43.602,54.464
06/30/20,47.6151289,44.633,55.458
06/29/20,47.59422393,45.436,56.334
06/26/20,47.33081609,46.145,53.737
06/25/20,47.39733386,46.438,54.167
06/24/20,47.65839963,46.61,53.47
06/23/20,47.4673624,44.408,51.706
06/22/20,47.50219522,44.554,51.819
06/19/20,47.31217449,45.098,52.328
06/18/20,47.31210992,43.803,50.604
06/17/20,47.64116705,43.701,51.066
06/16/20,47.82722789,43.411,50.774
06/15/20,47.77922632,45.256,52.345
06/12/20,47.83181698,46.969,53.444
06/11/20,48.48265543,44.336,49.734
06/10/20,48.6126747,40.755,46.674
06/09/20,52.2381871,40.043,45.858
06/08/20,52.37630714,40.335,45.69
06/05/20,53.83617712,38.996,44.771
06/04/20,53.34053075,40.474,44.915
06/03/20,53.43792977,40.291,44.454
06/02/20,53.37930567,40.238,44.23
06/01/20,54.72397542,41.474,46.08
05/29/20,66.48440754,42.221,47.013
05/28/20,67.10236723,42.686,47.189
05/27/20,67.05527269,43.625,48.326
05/26/20,66.95872102,41.45,45.963
05/25/20,66.86615725,41.283,46.077
05/22/20,67.11923325,41.543,45.844
05/21/20,67.43228589,40.776,44.534
05/20/20,67.42429258,42.289,46.478
05/19/20,67.26583749,43.459,47.51
05/18/20,67.4166144,44.478,48.538
05/15/20,66.32022447,46.696,50.559
05/14/20,66.07824662,47.419,51.639
05/13/20,65.73235722,48.984,53.194
05/12/20,65.8756759,46.454,50.825
05/11/20,65.89992022,45.726,50.241
05/08/20,65.66540292,46.033,51.094
05/07/20,64.56435114,49.626,54.502
05/06/20,64.61548671,50.293,55.362
05/05/20,64.60060355,47.002,52.399
05/04/20,62.82363546,49.344,55.73
05/01/20,62.78265932,48.971,55.756
04/30/20,62.6924627,49.184,54.361
04/29/20,61.91322013,48.839,55.841
04/28/20,62.02287468,52.752,59.2
04/27/20,62.02371556,53.014,60.147
04/24/20,61.99074698,50.833,57.202
04/23/20,62.00275266,51.672,58.274
04/22/20,62.00275747,47.304,54.834
04/21/20,61.53625839,55.148,64.458
04/20/20,56.55778813,47.047,51.254
04/17/20,56.55722167,42.694,46.497
04/16/20,56.63717062,42.669,46.715
04/15/20,56.67500735,42.608,46.207
04/14/20,55.6967763,39.462,43.993
04/13/20,55.69273361,38.137,43.176
04/10/20,55.69273361,42.618,47.08
04/09/20,55.18523009,41.008,46.367
04/08/20,55.18686639,42.667,47.144
04/07/20,55.23961788,41.656,46.8
04/06/20,55.06359747,44.59,48.702
04/03/20,55.03681879,47.264,51.827
04/02/20,54.76157485,48.707,53.247
04/01/20,54.25302395,46.041,50.967
03/31/20,53.93266722,45.051,49.913
03/30/20,54.23513236,44.976,50.675
03/27/20,54.21010501,44.903,50.209
03/26/20,54.08789672,45.426,51.283
03/25/20,54.17714812,43.917,48.463
03/24/20,53.72560058,47.598,52.36
03/23/20,53.37218671,50.758,56.696
03/20/20,52.89196345,51.781,58.12
03/19/20,52.62097918,48.978,56.303
03/18/20,49.9647001,52.98,58.37
03/17/20,47.20993071,45.497,50.964
03/16/20,47.17313687,44.099,50.747
03/13/20,45.53181748,39.723,45.833
03/12/20,45.53987086,39.046,45.258
03/11/20,45.48185206,35.75,39.861
03/10/20,45.5197691,36.115,41.191
03/09/20,43.24764255,37.884,43.134
03/06/20,22.52821921,30.192,32.901
03/05/20,19.25568254,27.925,30.349
03/04/20,19.10451675,27.912,30.04
03/03/20,19.16139702,27.545,29.491
03/02/20,19.15092094,27.446,29.505
02/28/20,18.09824123,26.918,28.982
02/27/20,16.60893893,26.968,28.749
02/26/20,17.29786239,26.914,28.927
02/25/20,16.99738861,27.253,29.391
02/24/20,16.18934365,26.642,28.605
02/21/20,18.40914817,25.814,27.721
02/20/20,18.35616977,25.68,27.606
02/19/20,18.37684531,25.301,27.347
02/18/20,18.26388198,25.845,27.81
02/17/20,18.27643918,25.918,27.821
02/14/20,18.3235397,26.247,27.981
02/13/20,18.62390557,25.812,27.796
02/12/20,19.05962973,25.741,27.527
02/11/20,19.0394501,25.847,28.105
02/10/20,19.1504035,26.594,28.638
02/07/20,19.23515759,25.884,27.976
02/06/20,19.25513889,25.952,27.734
02/05/20,19.20405311,25.977,28.113
02/04/20,18.8454345,26.924,29.033
02/03/20,18.82960884,27.397,29.529
01/31/20,18.7935413,27.663,29.758
01/30/20,18.87896117,26.698,28.87
01/29/20,19.29107529,26.239,28.306
01/28/20,19.38280917,26.53,28.8
01/27/20,19.35762288,27.116,29.439
01/24/20,20.42097872,26.885,29.121
01/23/20,19.95389273,26.067,28.374
01/22/20,19.96233795,25.506,28.338
01/21/20,19.59512945,24.68,27.532
01/20/20,19.64621469,24.622,27.347
01/17/20,19.66621308,24.672,27.396
01/16/20,19.69455445,24.732,27.331
01/15/20,19.95827771,25.209,27.873
01/14/20,19.93567699,25.243,28.081
01/13/20,19.93380545,25.546,28.408
01/10/20,19.86291613,25.302,28.377
01/09/20,19.84460656,25.339,28.767
01/08/20,19.87345084,26.089,29.683
01/07/20,18.56798097,25.481,28.833
01/06/20,18.66253679,25.438,28.779
01/03/20,19.07581822,24.641,27.892
01/02/20,18.90840081,24.518,27.662
01/01/20,18.90840081,24.266,27.347
12/31/19,18.87957386,24.104,27.209
12/30/19,18.7076408,23.565,26.742
12/27/19,18.68764423,23.327,26.549
12/26/19,18.78032814,23.08,26.223
12/25/19,18.78032814,22.71,25.809
12/24/19,18.82803197,23.241,26.422
12/23/19,18.89795697,23.319,26.336
12/20/19,18.89708959,24.176,26.702
12/19/19,19.3256823,24.117,26.634
12/18/19,19.42508741,24.365,27.002
12/17/19,19.42182693,24.25,26.572
12/16/19,19.51415363,24.75,27.127
12/13/19,19.84348488,25.089,27.524
12/12/19,19.90531626,25.321,27.638
12/11/19,19.87136534,25.636,27.924
12/10/19,19.78155723,25.565,27.825
12/09/19,19.96471343,25.919,28.135
12/06/19,20.40426635,26.064,28.189
12/05/19,23.46725324,26.352,28.658
12/04/19,23.53048634,25.792,27.908
12/03/19,22.9926911,27.142,29.418
12/02/19,23.25932408,26.921,29.217
11/29/19,23.13472685,27.106,29.385
11/28/19,21.15216467,26.14,28.385
11/27/19,21.12595607,26.047,28.519
11/26/19,21.09757583,25.922,28.331
11/25/19,22.10931033,26.034,28.323
11/22/19,22.1252273,26.032,28.437
11/21/19,22.0754938,26.018,28.395
11/20/19,22.27521322,26.958,28.816
11/19/19,21.91636483,27.646,29.565
11/18/19,21.60965201,27.21,28.663
11/15/19,21.61145082,27.068,28.691
11/14/19,21.56321884,27.596,29.434
11/13/19,21.67546429,28.007,29.63
11/12/19,21.68429987,27.996,29.64
11/11/19,21.68458419,28.331,29.906
11/08/19,21.69366163,27.975,29.652
